leitura,segundo,minuto,intensidadeMinuto
0,1,1,True
0,1,1,True
0,1,1,True
0,2,1,True
0,2,1,True
0,2,1,True
0,3,1,True
0,3,1,True
0,3,1,True
0,4,1,True
0,4,1,True
0,4,1,True
0,5,1,True
0,5,1,True
0,5,1,True
0,6,1,True
0,6,1,True
1,6,1,True
1,7,1,True
0,7,1,True
0,7,1,True
0,8,1,True
1,8,1,True
0,8,1,True
0,9,1,True
0,9,1,True
0,9,1,True
1,10,1,True
0,10,1,True
0,10,1,True
0,11,1,True
0,11,1,True
0,11,1,True
0,12,1,True
0,12,1,True
0,12,1,True
0,13,1,True
0,13,1,True
1,13,1,True
0,14,1,True
1,14,1,True
1,14,1,True
1,15,1,True
1,15,1,True
1,15,1,True
1,16,1,True
1,16,1,True
1,16,1,True
1,17,1,True
1,17,1,True
1,17,1,True
1,18,1,True
1,18,1,True
1,18,1,True
1,19,1,True
1,19,1,True
1,19,1,True
1,20,1,True
1,20,1,True
1,20,1,True
1,21,1,True
1,21,1,True
1,21,1,True
1,22,1,True
1,22,1,True
1,22,1,True
1,23,1,True
1,23,1,True
1,23,1,True
1,24,1,True
1,24,1,True
1,24,1,True
1,25,1,True
1,25,1,True
1,25,1,True
1,26,1,True
1,26,1,True
1,26,1,True
1,27,1,True
1,27,1,True
1,27,1,True
1,28,1,True
1,28,1,True
1,28,1,True
1,29,1,True
1,29,1,True
1,29,1,True
1,30,1,True
0,30,1,True
1,30,1,True
1,31,1,True
1,31,1,True
1,31,1,True
1,32,1,True
0,32,1,True
1,32,1,True
0,33,1,True
0,33,1,True
1,33,1,True
0,34,1,True
0,34,1,True
1,34,1,True
0,35,1,True
0,35,1,True
0,35,1,True
0,36,1,True
0,36,1,True
0,36,1,True
0,37,1,True
0,37,1,True
0,37,1,True
0,38,1,True
0,38,1,True
0,38,1,True
0,39,1,True
0,39,1,True
0,39,1,True
0,40,1,True
0,40,1,True
0,40,1,True
0,41,1,True
1,41,1,True
0,41,1,True
0,42,1,True
0,42,1,True
0,42,1,True
0,43,1,True
0,43,1,True
0,43,1,True
0,44,1,True
0,44,1,True
0,44,1,True
0,45,1,True
0,45,1,True
0,45,1,True
0,46,1,True
0,46,1,True
1,46,1,True
1,47,1,True
0,47,1,True
0,47,1,True
0,48,1,True
0,48,1,True
0,48,1,True
1,49,1,True
0,49,1,True
0,49,1,True
0,50,1,True
1,50,1,True
1,50,1,True
1,51,1,True
1,51,1,True
0,51,1,True
1,52,1,True
0,52,1,True
0,52,1,True
0,53,1,True
1,53,1,True
0,53,1,True
0,54,1,True
0,54,1,True
0,54,1,True
0,55,1,True
0,55,1,True
0,55,1,True
0,56,1,True
0,56,1,True
0,56,1,True
0,57,1,True
0,57,1,True
0,57,1,True
0,58,1,True
0,58,1,True
0,58,1,True
0,59,1,True
0,59,1,True
0,59,1,True
0,60,1,True
0,60,1,True
0,60,1,True
1,61,2,True
1,61,2,True
1,61,2,True
0,62,2,True
0,62,2,True
1,62,2,True
1,63,2,True
1,63,2,True
0,63,2,True
0,64,2,True
0,64,2,True
0,64,2,True
0,65,2,True
0,65,2,True
0,65,2,True
0,66,2,True
1,66,2,True
1,66,2,True
0,67,2,True
0,67,2,True
0,67,2,True
0,68,2,True
0,68,2,True
0,68,2,True
0,69,2,True
0,69,2,True
0,69,2,True
0,70,2,True
0,70,2,True
0,70,2,True
0,71,2,True
0,71,2,True
0,71,2,True
0,72,2,True
0,72,2,True
0,72,2,True
0,73,2,True
0,73,2,True
