Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
0,0,1,1,False,Banco do Motorista,Gasolina
1,0,1,1,False,Banco do Motorista,Gasolina
2,0,1,1,False,Banco do Motorista,Gasolina
3,0,2,1,False,Banco do Motorista,Gasolina
4,0,2,1,False,Banco do Motorista,Gasolina
5,1,2,1,False,Banco do Motorista,Gasolina
6,0,3,1,False,Banco do Motorista,Gasolina
7,0,3,1,False,Banco do Motorista,Gasolina
8,0,3,1,False,Banco do Motorista,Gasolina
9,0,4,1,False,Banco do Motorista,Gasolina
10,0,4,1,False,Banco do Motorista,Gasolina
11,0,4,1,False,Banco do Motorista,Gasolina
12,0,5,1,False,Banco do Motorista,Gasolina
13,0,5,1,False,Banco do Motorista,Gasolina
14,1,5,1,False,Banco do Motorista,Gasolina
15,0,6,1,False,Banco do Motorista,Gasolina
16,1,6,1,False,Banco do Motorista,Gasolina
17,0,6,1,False,Banco do Motorista,Gasolina
18,1,7,1,False,Banco do Motorista,Gasolina
19,1,7,1,False,Banco do Motorista,Gasolina
20,0,7,1,False,Banco do Motorista,Gasolina
21,0,8,1,False,Banco do Motorista,Gasolina
22,0,8,1,False,Banco do Motorista,Gasolina
23,0,8,1,False,Banco do Motorista,Gasolina
24,0,9,1,False,Banco do Motorista,Gasolina
25,0,9,1,False,Banco do Motorista,Gasolina
26,1,9,1,False,Banco do Motorista,Gasolina
27,1,10,1,False,Banco do Motorista,Gasolina
28,1,10,1,False,Banco do Motorista,Gasolina
29,0,10,1,False,Banco do Motorista,Gasolina
30,1,11,1,False,Banco do Motorista,Gasolina
31,0,11,1,False,Banco do Motorista,Gasolina
32,0,11,1,False,Banco do Motorista,Gasolina
33,0,12,1,False,Banco do Motorista,Gasolina
34,0,12,1,False,Banco do Motorista,Gasolina
35,0,12,1,False,Banco do Motorista,Gasolina
36,0,13,1,False,Banco do Motorista,Gasolina
37,1,13,1,False,Banco do Motorista,Gasolina
38,1,13,1,False,Banco do Motorista,Gasolina
39,0,14,1,False,Banco do Motorista,Gasolina
40,0,14,1,False,Banco do Motorista,Gasolina
41,0,14,1,False,Banco do Motorista,Gasolina
42,0,15,1,False,Banco do Motorista,Gasolina
43,0,15,1,False,Banco do Motorista,Gasolina
44,1,15,1,False,Banco do Motorista,Gasolina
45,0,16,1,False,Banco do Motorista,Gasolina
46,1,16,1,False,Banco do Motorista,Gasolina
47,0,16,1,False,Banco do Motorista,Gasolina
48,0,17,1,False,Banco do Motorista,Gasolina
49,0,17,1,False,Banco do Motorista,Gasolina
50,0,17,1,False,Banco do Motorista,Gasolina
51,0,18,1,False,Banco do Motorista,Gasolina
52,0,18,1,False,Banco do Motorista,Gasolina
53,1,18,1,False,Banco do Motorista,Gasolina
54,0,19,1,False,Banco do Motorista,Gasolina
55,0,19,1,False,Banco do Motorista,Gasolina
56,1,19,1,False,Banco do Motorista,Gasolina
57,0,20,1,False,Banco do Motorista,Gasolina
58,0,20,1,False,Banco do Motorista,Gasolina
59,0,20,1,False,Banco do Motorista,Gasolina
60,1,21,1,False,Banco do Motorista,Gasolina
61,0,21,1,False,Banco do Motorista,Gasolina
62,0,21,1,False,Banco do Motorista,Gasolina
63,0,22,1,False,Banco do Motorista,Gasolina
64,1,22,1,False,Banco do Motorista,Gasolina
65,0,22,1,False,Banco do Motorista,Gasolina
66,1,23,1,False,Banco do Motorista,Gasolina
67,1,23,1,False,Banco do Motorista,Gasolina
68,0,23,1,False,Banco do Motorista,Gasolina
69,1,24,1,False,Banco do Motorista,Gasolina
70,1,24,1,False,Banco do Motorista,Gasolina
71,0,24,1,False,Banco do Motorista,Gasolina
72,0,25,1,False,Banco do Motorista,Gasolina
73,0,25,1,False,Banco do Motorista,Gasolina
74,1,25,1,False,Banco do Motorista,Gasolina
75,0,26,1,False,Banco do Motorista,Gasolina
76,0,26,1,False,Banco do Motorista,Gasolina
77,0,26,1,False,Banco do Motorista,Gasolina
78,0,27,1,False,Banco do Motorista,Gasolina
79,1,27,1,False,Banco do Motorista,Gasolina
80,0,27,1,False,Banco do Motorista,Gasolina
81,0,28,1,False,Banco do Motorista,Gasolina
82,1,28,1,False,Banco do Motorista,Gasolina
83,0,28,1,False,Banco do Motorista,Gasolina
84,1,29,1,False,Banco do Motorista,Gasolina
85,0,29,1,False,Banco do Motorista,Gasolina
86,0,29,1,False,Banco do Motorista,Gasolina
87,0,30,1,False,Banco do Motorista,Gasolina
88,0,30,1,False,Banco do Motorista,Gasolina
89,1,30,1,False,Banco do Motorista,Gasolina
90,0,31,1,False,Banco do Motorista,Gasolina
91,0,31,1,False,Banco do Motorista,Gasolina
92,1,31,1,False,Banco do Motorista,Gasolina
93,0,32,1,False,Banco do Motorista,Gasolina
94,1,32,1,False,Banco do Motorista,Gasolina
95,0,32,1,False,Banco do Motorista,Gasolina
96,0,33,1,False,Banco do Motorista,Gasolina
97,1,33,1,False,Banco do Motorista,Gasolina
98,0,33,1,False,Banco do Motorista,Gasolina
99,0,34,1,False,Banco do Motorista,Gasolina
100,1,34,1,False,Banco do Motorista,Gasolina
101,0,34,1,False,Banco do Motorista,Gasolina
102,0,35,1,False,Banco do Motorista,Gasolina
103,0,35,1,False,Banco do Motorista,Gasolina
104,0,35,1,False,Banco do Motorista,Gasolina
105,0,36,1,False,Banco do Motorista,Gasolina
106,0,36,1,False,Banco do Motorista,Gasolina
107,0,36,1,False,Banco do Motorista,Gasolina
108,0,37,1,False,Banco do Motorista,Gasolina
109,0,37,1,False,Banco do Motorista,Gasolina
110,1,37,1,False,Banco do Motorista,Gasolina
